"adams",
"allan",
"andersen",
"ardern",
"bakshi",
"ball",
"barry",
"bayly",
"bennett",
"bennett",
"bidois",
"bishop",
"bridges",
"brown",
"brownlee",
"carter",
"clark",
"coffey",
"collins",
"craig",
"curran",
"davidson",
"davis",
"dean",
"doocey",
"dowie",
"dyson",
"eagle",
"faafoi",
"falloon",
"genter",
"ghahraman",
"goldsmith",
"guy",
"hayes",
"henare",
"hipango",
"hipkins",
"hudson",
"hughes",
"huo",
"jackson",
"jones",
"kanongata'a-suisuiki",
"kaye",
"king",
"korako",
"kuriger",
"lee",
"lees-galloway",
"little",
"logie",
"loheni",
"lubeck",
"luxton",
"macindoe",
"mahuta",
"mallard",
"marcroft",
"mark",
"martin",
"mcanulty",
"mcclay",
"mckelvie",
"mitchell",
"muller",
"nash",
"ngaro",
"o'connor",
"parker",
"parmar",
"patterson",
"penk",
"peters",
"prime",
"pugh",
"radhakrishnan",
"reti",
"robertson",
"ross",
"rurawhe",
"russell",
"sage",
"salesa",
"scott",
"sepuloni",
"seymour",
"shaw",
"simpson",
"sio",
"smith",
"stanford",
"strange",
"swarbrick",
"tabuteau",
"tinetti",
"tirikatene",
"tolley",
"twyford",
"upston",
"van",
"de",
"molen",
"wagner",
"walker",
"wall",
"warren-clark",
"webb",
"whaitiri",
"williams",
"willis",
"wood",
"woodhouse",
"woods",
"yang",
"young",
"yule"



"amy",
"kiritapu",
"ginny",
"jacinda",
"kanwaljit"
"singh",
"darroch",
"maggie",
"andrew",
"david",
"paula",
"dan",
"chris",
"simon",
"simeon",
"gerry",
"david",
"david",
"tamati",
"judith",
"liz",
"clare",
"marama",
"kelvin",
"Jacqui",
"matt",
"sarah",
"ruth",
"paul",
"kris",
"andrew",
"julie",
"anne",
"golriz",
"paul",
"nathan",
"joanne",
"peeni",
"harete",
"chris",
"brett",
"gareth",
"raymond",
"willie",
"shane",
"anahila",
"nikki",
"matt",
"tutehounuku",
"(nuk)",
"barbara",
"denise",
"melissa",
"iain",
"andrew",
"jan",
"agnes",
"marja",
"jo",
"tim",
"nanaia",
"trevor",
"jenny",
"ron",
"tracey",
"kieran",
"todd",
"ian",
"clayton",
"mark",
"todd",
"stuart",
"alfred",
"damien",
"greg",
"simon",
"david",
"parmjeet",
"mark",
"chris",
"winston",
"willow-jean",
"maureen",
"Priyanca",
"shane",
"grant",
"jami-Lee",
"adrian",
"deborah",
"eugenie",
"jenny",
"alastair",
"carmel",
"david",
"james",
"scott",
"aupito","
william",
"nick",
"stuart",
"erica",
"jamie",
"chlöe",
"chloe",
"fletcher",
"jan",
"rino",
"anne",
"phil",
"louise",
"tim",
"nicky",
"hamish",
"louisa",
"angie",
"duncan",
"meka",
"poto",
"nicola",
"michael",
"michael",
"megan",
"jian",
"jonathan",
"lawrence"
